"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
1.4379294805588,11.4052892753445,6.82150299908262,1.65046336771435e-07,2.67049974300326e-05,7.37207446959687,"SEPTIN9"
2.02288385638014,7.06197032588102,6.81433281752536,1.68252575344355e-07,2.70190864977799e-05,7.35359286247409,"ZBED6"
1.88816530961783,11.9501457925574,6.8093026168653,1.70539542839469e-07,2.70548284561245e-05,7.34062379776623,"AMER2"
-1.56527978982009,11.7236798807153,-6.8054965602279,1.72290893609721e-07,2.70548284561245e-05,7.33080901214631,"STOX2"
-2.81820226660922,9.74430953531539,-6.80542289360616,1.72324970575075e-07,2.70548284561245e-05,7.33061903017718,"BSCL2"
-2.30966830267946,11.6920810790781,-6.79922029369877,1.75218852932184e-07,2.70548284561245e-05,7.31462073677996,"TIMM23"
-1.87446647271002,8.69536340453781,-6.79896823514971,1.75337490145858e-07,2.70548284561245e-05,7.31397051549704,"PABPC1L2B"
-3.67305525683591,6.07130609398329,-6.79740406029299,1.7607552932865e-07,2.70548284561245e-05,7.30993534513249,"NAA80"
-2.14977398039106,7.43320130635529,-6.79424709996647,1.77574720212092e-07,2.70550171725487e-05,7.30179037665143,"GBA1"
-3.27115681793974,6.71396929602543,-6.79208228178864,1.78610236039394e-07,2.70550171725487e-05,7.29620450523428,"TUBGCP6"
-2.41975916769916,10.6691848726414,-6.78394393958582,1.825582210689e-07,2.73152729977379e-05,7.27520057402958,"FAIM2"
2.43236096124046,6.57977425429105,6.78263643204574,1.83200708335483e-07,2.73152729977379e-05,7.27182540196119,"ST18"
-1.73037596313248,9.93695176797288,-6.77887398287023,1.85062337373505e-07,2.73152729977379e-05,7.26211205248965,"DPYSL4"
-1.98692840107125,8.29895547110701,-6.77810721258571,1.85444076443112e-07,2.73152729977379e-05,7.26013232555275,"MAP1S"
-2.99224029836605,7.61521602616436,-6.77308914354304,1.87962132774614e-07,2.7496542683563e-05,7.24717457022388,"EXOC3"
-1.51563167221684,11.4427452989966,-6.76649919708253,1.91321713661657e-07,2.77801616472521e-05,7.23015371216393,"CYP46A1"
-3.79366252031641,6.02474024429342,-6.76421128282986,1.92502290654242e-07,2.77801616472521e-05,7.22424326222433,"PRMT7"
1.89761532524246,10.9636380054247,6.75784889054585,1.95824311608142e-07,2.78240504956379e-05,7.2078040791055,"FAM107A"
-1.78261715804291,9.40534248116003,-6.75754466358944,1.95984607524164e-07,2.78240504956379e-05,7.20701790581904,"VPS16"
2.17594097039349,9.29554006911038,6.75585546140857,1.96877064886925e-07,2.78240504956379e-05,7.20265254261641,"RHOU"
-2.119443399948,9.22285086656299,-6.75333859665488,1.98214453320813e-07,2.78240504956379e-05,7.19614769808586,"TMEM69"
-1.79485665501437,9.15552169692789,-6.75127073226903,1.99320148227015e-07,2.78240504956379e-05,7.19080278313317,"BRD3OS"
-1.97285903238454,8.80649201417211,-6.74736552285905,2.01425368990648e-07,2.79353443565083e-05,7.1807075270212,"NAGPA"
2.35029000532247,7.53187296187365,6.74098383551772,2.04914258978676e-07,2.82358628597842e-05,7.16420684714548,"SMARCC1"
-3.15504038537403,9.6717823317263,-6.73483774950975,2.08332274462887e-07,2.83605004246591e-05,7.14831119632671,"EEF1A2"
-2.15951972116462,8.50805400624538,-6.73458421197013,2.08474509161508e-07,2.83605004246591e-05,7.1476553837245,"CCDC85B"
2.76617180262412,7.00068211459793,6.72771661286329,2.12364922805552e-07,2.86299707580887e-05,7.12988868951861,"JPX"
-1.57499385025092,10.8146437662961,-6.72595853385205,2.13372635736214e-07,2.86299707580887e-05,7.12533967051254,"FKBP1B"
-2.5211989628676,6.42354268644509,-6.72404183790366,2.14476791895036e-07,2.86299707580887e-05,7.12037985379837,"TBC1D17"
1.41825816231233,9.15606397727598,6.71682273908898,2.18687779739418e-07,2.89229522840275e-05,7.10169552910615,"ZHX1"
2.51018581798272,8.82438307478336,6.71062083968315,2.22372320220876e-07,2.89229522840275e-05,7.08563945525083,"CLDN11"
-2.04484188066189,9.6657314050103,-6.70904971350496,2.23315675796588e-07,2.89229522840275e-05,7.0815713218892,"CORO2B"
-4.14034624018602,6.84371528312817,-6.70900827791809,2.23340609919351e-07,2.89229522840275e-05,7.08146402873611,"G6PD"
-2.07191619296089,11.8494299206057,-6.70883883344782,2.23442603561407e-07,2.89229522840275e-05,7.08102526795925,"EDF1"
-2.95227382848696,4.85297735508521,-6.70593454849776,2.25198138588093e-07,2.89745894214728e-05,7.0735044159186,"DYDC2"
-1.77744553634004,11.2982882687922,-6.7036834535208,2.26568459089552e-07,2.8976342210986e-05,7.0676744287328,"SYNGR3"
-3.81083082429536,7.96369509654734,-6.6937973995457,2.32687249055625e-07,2.95817515793454e-05,7.04206471465842,"STYK1"
-1.76262039057526,8.43398829765332,-6.68759865301967,2.36609039313623e-07,2.99023423766885e-05,7.02600165280787,"PCYOX1L"
-1.77065201455301,10.045087120131,-6.66618325184624,2.50681119233872e-07,3.14943961446885e-05,6.97047591714176,"TCP1"
-3.18094477599733,7.39365802381959,-6.64986705706572,2.61969631489442e-07,3.27201601716462e-05,6.92813914791181,"DNAAF1"
-2.29244914969006,9.08694392915229,-6.64357445016687,2.66459699857477e-07,3.30874783113721e-05,6.91180387906324,"MROH1"
2.38240763581783,11.5947067967001,6.60846202854183,2.92985250721015e-07,3.59661045357506e-05,6.82057888784645,"MT2A"
-1.80333846907114,8.87627225247481,-6.60843111351795,2.93009747599055e-07,3.59661045357506e-05,6.82049851230177,"TMX2"
-3.19257392159073,6.33977020585231,-6.59619112718713,3.02873569332511e-07,3.69644211074501e-05,6.78866828747258,"TSC2"
2.15119722940119,9.30798675208306,6.58458989180168,3.12533153259673e-07,3.77678875051389e-05,6.7584850983404,"NFKBIA"
1.79263334129311,11.6704487998762,6.5840460679394,3.12993542860267e-07,3.77678875051389e-05,6.75706988570835,"WAC"
-1.37085768554446,9.58957771514651,-6.5762913725222,3.19633758055662e-07,3.83524595761394e-05,6.73688631369199,"SNRNP27"
1.435077606025,10.8491155303618,6.56751913508542,3.27317522089639e-07,3.90550147306732e-05,6.71404703549544,"EIF1AX"
-2.90135988581683,7.42768426927815,-6.5474880366299,3.45572229149985e-07,4.07165243738394e-05,6.6618654756325,"CCDC24"
-2.1427638590494,7.56731470066857,-6.54706060396129,3.45972797539304e-07,4.07165243738394e-05,6.66075156633076,"IFI6"
-1.52148093837488,12.4626897204356,-6.54600755045882,3.46961674128606e-07,4.07165243738394e-05,6.65800718282131,"SPTAN1"
-2.49172953770662,8.97783045330218,-6.53940201805129,3.5323028333896e-07,4.12217130822515e-05,6.64078986671861,"NECAB3"
-3.37695383378007,6.66247154351981,-6.53742709264087,3.5512666013364e-07,4.12217130822515e-05,6.63564138611946,"NOC4L"
2.34097959508079,8.64585293688849,6.52978671261164,3.62560791328366e-07,4.18086459553651e-05,6.615719868623,"MAFF"
-2.4166018552913,7.51024887583594,-6.52631592720098,3.65989759426259e-07,4.18086459553651e-05,6.60666824710348,"ZNF408"
-1.75990480404632,10.5464927268968,-6.52513633718493,3.67162600432674e-07,4.18086459553651e-05,6.60359167012191,"LNX1"
-2.01497344475712,9.7858278862775,-6.52428325067496,3.68013177245465e-07,4.18086459553651e-05,6.60136658617915,"NDUFB4"
-3.38205337106386,9.23336560332073,-6.51707469143584,3.75280679387267e-07,4.24087023828214e-05,6.58256183309945,"FSD1"
-3.51170599447418,7.55495331505582,-6.51001261120915,3.82541463648566e-07,4.30016872663478e-05,6.56413426409003,"REEP6"
1.37361959700777,9.95561214125406,6.50358381239215,3.89274800785208e-07,4.31873211359227e-05,6.54735493005814,"KDM2A"
1.83912698002929,8.19815984889649,6.50112930043762,3.91877133615768e-07,4.31873211359227e-05,6.54094752875901,"IL17RD"
