"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2001212","regulation of vasculogenesis","3/750","17/16355",0.176470588235294,3.84823529411765,2.57579692534192,0.0404078459236924,0.260301705136344,0.227235744450521,"RIN2/HEY2/EMP2",3
"GO:0006997","nucleus organization","12/750","149/16355",0.0805369127516778,1.75624161073825,2.03294921050567,0.0414571291797962,0.266716446568341,0.232835625342557,"NEAT1/GPER1/HIPK2/POLR1B/PARP11/CELF3/FXR1/ZPR1/EPC1/AKAP8L/PLEC/EMG1",12
"GO:0055023","positive regulation of cardiac muscle tissue growth","4/750","29/16355",0.137931034482759,3.00781609195402,2.37243201158241,0.0419129121139768,0.267162034338019,0.233224610380161,"TGFBR3/HEY2/ZFPM2/YAP1",4
"GO:0065005","protein-lipid complex assembly","4/750","29/16355",0.137931034482759,3.00781609195402,2.37243201158241,0.0419129121139768,0.267162034338019,0.233224610380161,"LCAT/APOE/ABCA1/APOC1",4
"GO:0072012","glomerulus vasculature development","4/750","29/16355",0.137931034482759,3.00781609195402,2.37243201158241,0.0419129121139768,0.267162034338019,0.233224610380161,"NOTCH2/PECAM1/PDGFRA/BMP7",4
"GO:0001709","cell fate determination","5/750","42/16355",0.119047619047619,2.59603174603175,2.27043981715022,0.0419550487137323,0.267162034338019,0.233224610380161,"NOTCH2/PTCH1/KLF4/ASCL1/IFRD1",5
"GO:0007595","lactation","5/750","42/16355",0.119047619047619,2.59603174603175,2.27043981715022,0.0419550487137323,0.267162034338019,0.233224610380161,"NME1/XBP1/DDR1/GJA1/CAV1",5
"GO:0016202","regulation of striated muscle tissue development","5/750","42/16355",0.119047619047619,2.59603174603175,2.27043981715022,0.0419550487137323,0.267162034338019,0.233224610380161,"MEGF10/BCL2/GJA1/LUC7L/YBX3",5
"GO:0043277","apoptotic cell clearance","5/750","42/16355",0.119047619047619,2.59603174603175,2.27043981715022,0.0419550487137323,0.267162034338019,0.233224610380161,"C4A/MEGF10/ITGAV/LRP1/MERTK",5
"GO:0060412","ventricular septum morphogenesis","5/750","42/16355",0.119047619047619,2.59603174603175,2.27043981715022,0.0419550487137323,0.267162034338019,0.233224610380161,"TGFBR3/TBX3/HEY2/SAV1/ZFPM2",5
"GO:0072526","pyridine-containing compound catabolic process","9/750","101/16355",0.0891089108910891,1.94316831683168,2.08439731220188,0.0421581198902921,0.267839695081167,0.233816188308448,"ZBTB20/DDIT4/PPARA/KAT2B/SLC4A4/STAT3/ENO3/ZBTB7A/COL6A1",9
"GO:0002040","sprouting angiogenesis","11/750","133/16355",0.0827067669172932,1.80355889724311,2.03986806030021,0.0421916223924511,0.267839695081167,0.233816188308448,"ACVRL1/TGFBR3/SLC39A12/NR2E1/SMAD1/KLF4/RHOJ/KLF2/BMPER/PGF/PPP1R16B",11
"GO:0006109","regulation of carbohydrate metabolic process","14/750","183/16355",0.0765027322404372,1.66826958105647,1.99299456047961,0.0423635737713405,0.267839695081167,0.233816188308448,"ACACB/ZBTB20/DDIT4/GPER1/AP2A1/FOXO1/PDK4/PPARA/KAT2B/SLC4A4/STAT3/NLN/STK11/ZBTB7A",14
"GO:0050954","sensory perception of mechanical stimulus","14/750","183/16355",0.0765027322404372,1.66826958105647,1.99299456047961,0.0423635737713405,0.267839695081167,0.233816188308448,"CXCR4/SLC1A3/TBL1X/TRIOBP/OTOGL/ADGRV1/CRYM/USP53/REST/LRIG1/CCDC50/ATP8B1/COL6A1/SERPINB6",14
"GO:0031102","neuron projection regeneration","6/750","56/16355",0.107142857142857,2.33642857142857,2.19619059483915,0.042383778463506,0.267839695081167,0.233816188308448,"GFAP/PTN/LAMB2/KLF4/BCL2/FLNA",6
"GO:2000107","negative regulation of leukocyte apoptotic process","6/750","56/16355",0.107142857142857,2.33642857142857,2.19619059483915,0.042383778463506,0.267839695081167,0.233816188308448,"ITPKB/IRF7/BCL2/GPAM/MERTK/BCL6",6
"GO:0051258","protein polymerization","20/750","288/16355",0.0694444444444444,1.51435185185185,1.93063376233658,0.0431060590263137,0.272059253550886,0.237499738939117,"SLC39A12/TTC17/KANK2/EPS8/KANK1/RNF135/TRIOBP/NEDD1/MICALL2/PREX1/FAM107A/HIP1R/SPTA1/ADD3/TUBGCP5/PIK3R2/DNM2/KANK3/TMSB15A/MSRB2",20
"GO:0001890","placenta development","12/750","150/16355",0.08,1.74453333333333,2.00824178904572,0.043271025336297,0.272273358786511,0.23768664652231,"ZFP36L1/PTN/NOTCH2/EGFR/EPAS1/CEBPB/TFEB/NR2F2/ITGB8/HEY2/BPTF/BMP7",12
"GO:0007422","peripheral nervous system development","8/750","86/16355",0.0930232558139535,2.02852713178295,2.0965020456281,0.0433584129315062,0.272273358786511,0.23768664652231,"POU3F2/LAMB2/PARD3/EDNRB/ASCL1/NTRK2/COL6A1/PLEC",8
"GO:0032370","positive regulation of lipid transport","8/750","86/16355",0.0930232558139535,2.02852713178295,2.0965020456281,0.0433584129315062,0.272273358786511,0.23768664652231,"PTCH1/NFKBIA/APOE/ABCA1/LRP1/PTGES/CRH/CAV1",8
"GO:0048145","regulation of fibroblast proliferation","8/750","86/16355",0.0930232558139535,2.02852713178295,2.0965020456281,0.0433584129315062,0.272273358786511,0.23768664652231,"LZTS2/PARP10/TP53INP1/FN1/EGFR/AGT/PDGFRA/CAV1",8
"GO:0051651","maintenance of location in cell","16/750","218/16355",0.073394495412844,1.60048929663609,1.95673881483288,0.0435073418701842,0.27286491391791,0.238203056780154,"TAF3/GPER1/CCDC88A/TMEM38A/APOE/CAPN3/LIME1/ATP1A2/SLC25A23/SP100/SRGN/GP1BB/TMSB15A/CAV1/FLNA/ITPR2",16
"GO:0031669","cellular response to nutrient levels","18/750","253/16355",0.0711462450592885,1.55146245059289,1.93796994606251,0.0436427158390159,0.273110087997252,0.238417086551531,"KANK2/XBP1/FOXO1/PDK4/TFEB/PPARA/KAT2B/LAMP2/BCL2/AKR1C3/FAM107A/RRAGB/GAS2L1/TBC1D7/GPR155/PLD1/SLC2A1/CAV1",18
"GO:0120192","tight junction assembly","7/750","71/16355",0.0985915492957746,2.14995305164319,2.1288226360452,0.0436559847841577,0.273110087997252,0.238417086551531,"ACVRL1/PECAM1/RAB13/PARD3/MICALL2/F11R/CLDN5",7
"GO:0043484","regulation of RNA splicing","14/750","184/16355",0.0760869565217391,1.65920289855072,1.97137989520699,0.0440102315066169,0.27448270525593,0.239615341109479,"RBM25/SRRM1/SRSF12/CELF3/KAT2B/TAF9/AHNAK/ZPR1/QKI/TRA2A/REST/PRDX6/ZBTB7A/CELF1",14
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","14/750","184/16355",0.0760869565217391,1.65920289855072,1.97137989520699,0.0440102315066169,0.27448270525593,0.239615341109479,"GPER1/NOTCH2/EGFR/GCNT2/FGFR3/GPNMB/APOE/FERMT2/ACKR3/PDGFRA/BMPER/ADCYAP1/CAVIN3/CHI3L1",14
"GO:0070372","regulation of ERK1 and ERK2 cascade","19/750","271/16355",0.0701107011070111,1.52888068880689,1.92466906011149,0.0441175292868791,0.27448270525593,0.239615341109479,"EZR/GPER1/NOTCH2/FN1/EGFR/GCNT2/XBP1/FGFR3/GPNMB/APOE/FERMT2/ACKR3/PDGFRA/BMPER/DUSP4/ADCYAP1/CAVIN3/CHI3L1/NDRG2",19
"GO:0017148","negative regulation of translation","11/750","134/16355",0.082089552238806,1.79009950248756,2.01328898413318,0.044150647736714,0.27448270525593,0.239615341109479,"TNRC6C/MAP3K20/TOB1/SCRIB/RGS2/FXR1/EIF4E2/IGFBP5/SAMD4A/QKI/CELF1",11
"GO:0051384","response to glucocorticoid","11/750","134/16355",0.082089552238806,1.79009950248756,2.01328898413318,0.044150647736714,0.27448270525593,0.239615341109479,"ZFP36L1/DDIT4/PCSK1/ACSBG1/ZFP36L2/EGFR/IGFBP7/BCL2/FAM107A/REST/CRH",11
"GO:0046822","regulation of nucleocytoplasmic transport","10/750","118/16355",0.0847457627118644,1.84802259887006,2.02677844136521,0.0446089272984494,0.276986440236698,0.241801028221916,"NEAT1/XBP1/BAG3/ZIC1/ZPR1/SP100/PIK3R2/AKAP8L/FLNA/AAAS",10
"GO:0003012","muscle system process","28/750","435/16355",0.064367816091954,1.40364750957854,1.87062233731546,0.0448468776516312,0.278117577078399,0.242788477467262,"CACNB2/ACACB/DTNA/GPER1/CXCR4/TPM2/TBX3/FOXO1/TMEM38A/KLF15/AGT/SSPN/RGS2/EDNRB/PPARA/NFATC1/SMAD5/IGFBP5/TNNI3K/ATP1A2/HEY2/GJA1/TNFRSF1A/KCNE4/COL6A1/CAV1/FLNA/GATM",28
"GO:0048588","developmental cell growth","16/750","219/16355",0.0730593607305936,1.59318112633181,1.93741287295623,0.045035195406528,0.278938489809874,0.243505110174558,"CXCR4/LHX2/SLC39A12/FN1/LAMB2/APOE/RGS2/PPARA/DDR1/SEMA3F/SOX9/IFRD1/STK11/KMT2D/DNM2/DVL1",16
"GO:0030534","adult behavior","12/750","151/16355",0.0794701986754967,1.73298013245033,1.98371967814718,0.0451393223926232,0.278959021496317,0.243523033733881,"KCNJ10/HIPK2/PREX2/EPS8/SHANK3/SLC7A11/PPARA/ZIC1/ATP1A2/SHANK1/ZFHX2/NRXN2",12
"GO:0008016","regulation of heart contraction","15/750","202/16355",0.0742574257425743,1.61930693069307,1.94162685573451,0.0454845055867917,0.278959021496317,0.243523033733881,"CACNB2/THRA/EPAS1/TMEM38A/AGT/RGS2/EDNRB/TNNI3K/ATP1A2/HEY2/GJA1/ATP1A3/KCNE4/CAV1/FLNA",15
"GO:0000381","regulation of alternative mRNA splicing, via spliceosome","6/750","57/16355",0.105263157894737,2.29543859649123,2.14781981820492,0.045612133131235,0.278959021496317,0.243523033733881,"RBM25/SRSF12/CELF3/REST/ZBTB7A/CELF1",6
"GO:0001755","neural crest cell migration","6/750","57/16355",0.105263157894737,2.29543859649123,2.14781981820492,0.045612133131235,0.278959021496317,0.243523033733881,"FN1/EDNRB/SEMA3F/BMP7/SEMA4G/SEMA4C",6
"GO:0051703","biological process involved in intraspecies interaction between organisms","6/750","57/16355",0.105263157894737,2.29543859649123,2.14781981820492,0.045612133131235,0.278959021496317,0.243523033733881,"NR2E1/SHANK3/CIC/SHANK1/NRXN2/DVL1",6
"GO:0001662","behavioral fear response","5/750","43/16355",0.116279069767442,2.53565891472868,2.21047765207293,0.0457562350611364,0.278959021496317,0.243523033733881,"NR2E1/APOE/BCL2/ATP1A2/CRH",5
