"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019693","ribose phosphate metabolic process","87/2848","363/16355",0.239669421487603,1.3763319481846,3.32947340296053,0.000843067498376754,0.217738498628733,0.210636308448395,"BAD/GPI/PFKM/ALDOA/ATP5MC1/NDUFS7/ATP5MF/ADSL/G6PD/NDUFB4/ND6/ATP5F1D/AMPD2/TPI1/TJP2/PFKFB3/HSPA1A/NDUFB7/AK4/HK2/NUDT14/NADK/NDUFV3/IMPDH2/NME7/ATP5F1B/UCKL1/NDUFS6/NDUFV1/PDE4C/ANTKMT/ALDOC/KAT2B/LDHA/PGM1/NDUFS1/ATP5F1C/AK1/ADCY9/PKM/MTHFD1/NDUFB11/OLA1/HTR2A/APRT/DDIT4/ENO1/DNM1L/ATP6V0C/NDUFA7/RHOQ/GAPDH/PPARA/BPNT1/TREX1/NDUFA3/ATP1A2/SLC2A6/SRC/CTPS1/NDUFA10/HSPA1B/UCHL1/TPST1/GIMAP7/NUDT2/STAT3/CAD/SIRT6/NPR2/P2RX7/RPTOR/LRRK2/ADCY7/PGK1/SULT1A3/NDUFB5/OGDHL/SDHB/UCP2/ADCY5/ABCC9/PDE8A/PAPSS2/MLST8/GART/NDUFS8",87
"GO:0006091","generation of precursor metabolites and energy","108/2848","467/16355",0.231263383297645,1.32805921131776,3.30277204818302,0.000854904761932148,0.217738498628733,0.210636308448395,"GPI/PFKM/IDH3G/ALDOA/NDUFS7/ATP5MF/ADSL/GBA1/G6PD/NDUFB4/ND6/ATP5F1D/SCO2/SORBS1/UQCRB/TPI1/PFKFB3/NDUFB7/AK4/HK2/NDUFV3/CHCHD10/WDR45/ATP5F1B/NDUFS6/MCHR1/NDUFV1/ANTKMT/ALDOC/KAT2B/LDHA/ACACB/PGM1/NDUFS1/EPM2AIP1/ATP5F1C/PKM/NDUFB11/HTR2A/ACOX1/DDIT4/PPP1CB/ENO1/GNPDA1/KHK/IDH3B/UQCRC1/NDUFA7/PPP1R3C/GAPDH/FDXR/COQ9/PNPT1/ME3/PYGB/PPARA/WDR45B/UQCR11/IRS2/ACADVL/TREX1/SDHAF4/SNCA/VGF/PHLDA2/UQCRQ/NDUFA3/CCNB1/CYC1/PPP1CA/SLC2A6/PPP1R3E/SRC/PGLS/OPN3/NDUFA10/UCHL1/GPD2/STK40/COX6A1/PYGM/SLC25A23/NDOR1/STAT3/SIRT6/NR4A3/POR/P2RX7/RPTOR/FDX2/TYRP1/PGK1/AKT1/UQCC2/ACSS3/NDUFB5/OGDHL/UCN/ACO2/SDHB/UCP2/CAVIN3/ALDH1L1/ABCC9/LEPR/MLST8/NDUFS8/SLC35A4",108
"GO:0046620","regulation of organ growth","28/2848","89/16355",0.314606741573034,1.80666898118924,3.50390655837608,0.000857224608332148,0.217738498628733,0.210636308448395,"RBP4/G6PD/LATS1/FGFR2/ACACB/TGFBR3/YAP1/FGF9/FGF2/YBX3/TGFBR1/FOXP1/PPARA/LATS2/ERBB4/GLI1/FGF8/MAEL/CTDP1/AKT1/ARX/SMO/PIM1/IL7/SAV1/PARP2/CACNA2D2/BMP10",28
"GO:0046031","ADP metabolic process","31/2848","102/16355",0.303921568627451,1.74530802489535,3.46714220683582,0.000894618408138062,0.217738498628733,0.210636308448395,"BAD/GPI/PFKM/ALDOA/TPI1/PFKFB3/AK4/HK2/ALDOC/KAT2B/LDHA/PGM1/AK1/PKM/HTR2A/DDIT4/ENO1/GAPDH/PPARA/TREX1/SLC2A6/SRC/UCHL1/STAT3/SIRT6/P2RX7/RPTOR/PGK1/OGDHL/UCP2/MLST8",31
"GO:0021587","cerebellum morphogenesis","17/2848","45/16355",0.377777777777778,2.16943664169788,3.60710274516436,0.000930393329832298,0.217738498628733,0.210636308448395,"GBA1/FAIM2/CDK5/TTC21B/AGTPBP1/KNDC1/LDB1/DAB1/NRXN1/XRCC1/SERPINE2/GLI1/GLI2/SMO/HSPA5/COQ8B/DLL1",17
"GO:0051494","negative regulation of cytoskeleton organization","44/2848","160/16355",0.275,1.57922226123595,3.38078302533718,0.000953434312088642,0.217738498628733,0.210636308448395,"VILL/CORO1A/TUBB4A/CORO2B/SPTAN1/TTBK2/CLIP3/INPP5J/KANK1/SPTBN1/DMTN/TWF1/KAT2B/TJP1/KATNB1/HIP1R/MET/STMN1/DLC1/TMSB10/TPX2/GSN/STMN2/MID1IP1/NPM1/FLII/SNCA/S1PR1/ADD3/WASF2/PAK2/SCIN/BMERB1/PPFIA1/SSH2/KANK2/CARMIL2/CORO1B/ARAP1/MDM1/CGNL1/EPS8/NUBP1/APC",44
"GO:0009259","ribonucleotide metabolic process","85/2848","355/16355",0.23943661971831,1.37499505459725,3.28006360059675,0.000990739187140572,0.217738498628733,0.210636308448395,"BAD/GPI/PFKM/ALDOA/ATP5MC1/NDUFS7/ATP5MF/ADSL/NDUFB4/ND6/ATP5F1D/AMPD2/TPI1/TJP2/PFKFB3/HSPA1A/NDUFB7/AK4/HK2/NADK/NDUFV3/IMPDH2/NME7/ATP5F1B/UCKL1/NDUFS6/NDUFV1/PDE4C/ANTKMT/ALDOC/KAT2B/LDHA/PGM1/NDUFS1/ATP5F1C/AK1/ADCY9/PKM/MTHFD1/NDUFB11/OLA1/HTR2A/APRT/DDIT4/ENO1/DNM1L/ATP6V0C/NDUFA7/RHOQ/GAPDH/PPARA/BPNT1/TREX1/NDUFA3/ATP1A2/SLC2A6/SRC/CTPS1/NDUFA10/HSPA1B/UCHL1/TPST1/GIMAP7/NUDT2/STAT3/CAD/SIRT6/NPR2/P2RX7/RPTOR/LRRK2/ADCY7/PGK1/SULT1A3/NDUFB5/OGDHL/SDHB/UCP2/ADCY5/ABCC9/PDE8A/PAPSS2/MLST8/GART/NDUFS8",85
"GO:0021549","cerebellum development","32/2848","107/16355",0.299065420560748,1.71742098078337,3.41875946664659,0.00100971811222334,0.217738498628733,0.210636308448395,"SDF4/IGF1R/LPAR1/GBA1/FAIM2/CDK5/TTBK2/SEMA4C/GPX4/TTC21B/AGTPBP1/KNDC1/LDB1/DAB1/NRXN1/RPGRIP1L/XRCC1/FZD4/UQCRQ/SERPINE2/PRKG1/GLI1/GDF10/GLI2/SMO/HSPA5/SEZ6/CDK5R1/COQ8B/SSTR1/DLL1/GART",32
"GO:0097501","stress response to metal ion","9/2848","18/16355",0.5,2.87131320224719,3.64753206882916,0.00155427063311656,0.266095978117934,0.257416464597273,"MT2A/MT1X/MT1E/MT1F/MT1M/MT1H/MT1G/SLC30A1/MT1HL1",9
"GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","33/2848","114/16355",0.289473684210526,1.66233922235364,3.25858501163403,0.00156521572410181,0.266095978117934,0.257416464597273,"ERBIN/AP2M1/LPAR1/CPT1C/CPLX1/HPCA/VPS35/LGI1/STX1B/RAP2A/ADAM10/OLFM1/CACNG3/CALY/PPP3R1/GPHN/VAC14/NSG2/PORCN/SST/ARC/TFRC/IQSEC2/RABEP1/TAMALIN/AP2S1/ERBB4/SUSD4/PPFIA1/ZDHHC2/CBLB/EPS8/CACNA2D2",33
