"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_KRAS_SIGNALING_UP",0.016351064751146,0.0302797495391593,0.352487857583619,0.309560024597653,1.39337579440217,200,"CXCR4;SERPINA3;SOX9;GPRC5B;PECAM1;KLF4;ID2;ANGPTL4;SPON1;ADGRL4;CBL;SPP1;CPE;EMP1;GPNMB;JUP;MTMR10;ABCB1;MAP7;C3AR1;ATG10;USP12;TNFRSF1B;IL10RA;SATB1;GFPT2;TMEM176A;TNNT2;ENG;APOD;IGF2;KCNN4;KIF5C;CAB39L;CXCL10;MAP4K1;LCP1;CFH;ZNF277"
"HALLMARK_COMPLEMENT",0.0218436470471143,0.0376614604260591,0.352487857583619,0.303889104027611,1.36785013596308,200,"MAFF;IRF7;HSPA1A;CXCL1;FN1;LGALS3;AKAP10;CEBPB;CSRP1;LAMP2;CTSH;F3;CPM;RAF1;SERPING1;TIMP1;LRP1;CTSB;APOC1;CPQ;CASP7;CLU;F10;FYN;DOCK4;GNAI3;GNAI2;CFH;WAS;GNB2;USP16;STX4;PLG;COL4A2;GNB4;CASP10;S100A13;C1QC;LIPA;FCN1;CTSS;GRB2;C1S;C3;PRCP;CALM1;CD46;ANXA5;HSPA5;PCSK9;DOCK10;PPP2CB;CASP9;GATA3;MT3;MMP13;RHOG;DOCK9;APOBEC3F;CDK5R1;ZEB1;TIMP2;CTSO;ERAP2;LYN;FCER1G"
"HALLMARK_APICAL_SURFACE",0.0961240310077519,0.133505598621878,0.178219874951973,0.381823687380493,1.34290128762929,44,"CRYBG1;ATP8B1;HSPB1;ADIPOR2;ADAM10;RHCG;GAS1;MDGA1;APP;CROCC;GSTM3;THY1;PCSK9;GATA3;EFNA5;RTN4RL1;LYN;PKHD1;SULF2;MAL"
"HALLMARK_MTORC1_SIGNALING",0.0324700457223546,0.050734446441179,0.321775918075361,0.295668115323622,1.33084624089917,200,"CXCR4;ADD3;PSAT1;IGFBP5;SCD;DDIT4;IFRD1;SLC7A11;PLOD2;AK4;NIBAN1;XBP1;FDXR;ADIPOR2;EPRS1;ELOVL5;CCNG1;TFRC;G6PD;SLC2A1;GSR;MAP2K3;NUPR1;SSR1;HSPA4;TES;SLC37A4;PSMA4;PGM1;SERPINH1;SEC11A;TCEA1;GGA2;SLC7A5;PNP;NHERF1;CDKN1A;UNG"
"HALLMARK_INFLAMMATORY_RESPONSE",0.0371929073120343,0.0563528898667187,0.321775918075361,0.293308852765482,1.32022684860062,200,"SLC7A2;RGS1;IRF7;ICOSLG;OSMR;P2RX7;NFKBIA;SLC4A4;ITGB8;KLF6;F3;ABCA1;RAF1;PTGIR;BST2;SLC1A2;AHR;C3AR1;TIMP1;STAB1;SEMA4D;TNFRSF1B;IL10RA;IL4R;LPAR1;IFITM1;EMP3;CXCL9;APLNR;CCL2;IL1R1;SRI;CXCL10;GNAI3;ATP2B1;TNFAIP6;CDKN1A;AXL"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0954545454545455,0.133505598621878,0.176694268938498,0.363076167556356,1.31676355786131,49,"SCAF4;FTL;PRDX6;CAT;MBP;G6PD;GSR;NQO1;MGST1"
"HALLMARK_GLYCOLYSIS",0.0418848167539267,0.0615953187557746,0.252961123069611,0.287538680421018,1.2942544431366,200,"CXCR4;SOX9;VCAN;MXI1;GUSB;SDC3;DDIT4;CD44;PLOD2;CHST12;AK4;ANGPTL4;EGFR;NASP;IL13RA1;DCN;G6PD;SDC2;DPYSL4;MERTK;ALDH9A1;CHST6;B3GAT1;AK3;SLC37A4;GYS2;ANKZF1;HS2ST1;SLC16A3;GPC4;ZNF292;COL5A1;PKP2;HOMER1;IER3;ECD;GPC1;HK2;B3GALT6;NT5E;HSPA5;ALDOA;RPE;B4GALT4;NOL3;HDLBP;SAP30;B4GALT2;PPP2CB"
"HALLMARK_PROTEIN_SECRETION",0.182825484764543,0.247061465898031,0.117249716749792,0.288711948812953,1.18489796364288,96,"EGFR;LAMP2;TMX1;ABCA1;ADAM10;SSPN;YIPF6;COPB1;SCRN1;MON2;VAMP3;SNAP23;ANP32E;GNAS;AP1G1;GOSR2;STX16;TSPAN8;GOLGA4;MAPK1;SCAMP1;DST;ARFGAP3;CAV2;BNIP3;RAB14;CD63;TMED10;RER1;VAMP4;SGMS1;CLCN3;DNM1L"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.241176470588235,0.301470588235294,0.103197466945307,0.294760402745469,1.14681882121543,74,"SCD;GUSB;TP53INP1;NIBAN1;LGALS3;ATF3;CLU;CPEB2;JAG1;MVK;HSD17B7;LSS;ACTG1;ANXA5;SEMA3B;ALCAM;CBS;S100A11;GNAI1;DHCR7;CYP51A1;FASN;SQLE;CXCL16"
"HALLMARK_UV_RESPONSE_UP",0.196358907672302,0.258366983779344,0.108394255853397,0.258241536085676,1.13554731305655,158,"LHX2;CYP1A1;MSX1;HSPA2;NFKBIA;TMBIM6;ABCB1;CNP;RRAD;TFRC;CXCL2;SLC6A8;TST;BTG3;ATF3;BTG1;CDKN2B;ACAA1;CLCN2;RHOB;RAB27A;IL6ST;WIZ;SIGMAR1;PDLIM3;CEBPG;SLC6A12;POLR2H;DLG4;HNRNPU;PRPF3;SELENOW;MRPL23;SULT1A1;H2AX;SQSTM1;TYRO3;AGO2;JUNB;ALDOA;CDKN1C;EIF5;TAP1;NTRK3;BTG2"
